candidate,vertex,w_R,w_P,w_U,acceptability
359,4,0.586131408554,0.134635209325,0.27923338212,0.000931236737782
359,5,0.587233641172,0.103538171898,0.30922818693,0.000931236737782
360,0,0.596670637746,0.0563030096127,0.347026352642,0.00113135337908
360,1,0.598915873945,0.0685141720067,0.332569954049,0.00113135337908
360,2,0.597202440845,0.101643162903,0.301154396252,0.00113135337908
360,3,0.587233641172,0.103538171898,0.30922818693,0.00113135337908
360,4,0.584898819269,0.0925843768666,0.322516803865,0.00113135337908
360,5,0.585923648212,0.0580460545923,0.356030297195,0.00113135337908
361,0,0.59582119993,0.00492029297235,0.399258507098,0.00139004329035
361,1,0.598370142141,0.0193862682418,0.382243589617,0.00139004329035
361,2,0.596670637746,0.0563030096127,0.347026352642,0.00139004329035
361,3,0.585923648212,0.0580460545923,0.356030297195,0.00139004329035
361,4,0.583266670917,0.0451007999568,0.371632529126,0.00139004329035
361,5,0.584187489165,0.00643840098949,0.409374109846,0.00139004329035
362,0,0.5829176305,0,0.4170823695,0.00014129456201
362,1,0.596019347176,0,0.403980652824,0.00014129456201
362,2,0.59582119993,0.00492029297235,0.399258507098,0.00014129456201
362,3,0.584187489165,0.00643840098949,0.409374109846,0.00014129456201
376,0,0.587032427536,0.172155184851,0.240812387613,9.2612192456e-05
376,1,0.588305526166,0.177723989675,0.23397048416,9.2612192456e-05
376,2,0.5780557913,0.178119549491,0.243824659208,9.2612192456e-05
376,3,0.578153466154,0.174152317185,0.247694216661,9.2612192456e-05
377,0,0.586131408554,0.134635209325,0.27923338212,0.000831447132573
377,1,0.588192178559,0.143962419466,0.267845401976,0.000831447132573
377,2,0.587032427536,0.172155184851,0.240812387613,0.000831447132573
377,3,0.578153466154,0.174152317185,0.247694216661,0.000831447132573
377,4,0.576046662097,0.165774824239,0.258178513664,0.000831447132573
377,5,0.576597110318,0.13655802583,0.286844863852,0.000831447132573
378,0,0.584898819269,0.0925843768666,0.322516803865,0.00100622053511
378,1,0.587233641172,0.103538171898,0.30922818693,0.00100622053511
378,2,0.586131408554,0.134635209325,0.27923338212,0.00100622053511
378,3,0.576597110318,0.13655802583,0.286844863852,0.00100622053511
378,4,0.574205966396,0.126736005854,0.29905802775,0.00100622053511
378,5,0.574625744382,0.0943877755354,0.330986480082,0.00100622053511
379,0,0.583266670917,0.0451007999568,0.371632529126,0.00123074064713
379,1,0.585923648212,0.0580460545923,0.356030297195,0.00123074064713
379,2,0.584898819269,0.0925843768666,0.322516803865,0.00123074064713
379,3,0.574625744382,0.0943877755354,0.330986480082,0.00123074064713
379,4,0.571900426593,0.0828050200191,0.345294553388,0.00123074064713
379,5,0.572154048288,0.0467231914508,0.381122760261,0.00123074064713
380,0,0.569064611965,0,0.430935388035,0.00130742785412
380,1,0.5829176305,0,0.4170823695,0.00130742785412
380,2,0.584187489165,0.00643840098949,0.409374109846,0.00130742785412
380,3,0.583266670917,0.0451007999568,0.371632529126,0.00130742785412
380,4,0.572154048288,0.0467231914508,0.381122760261,0.00130742785412
380,5,0.569031797649,0.0329699617926,0.397998240558,0.00130742785412
394,0,0.576046662097,0.165774824239,0.258178513664,0.000249104790819
394,1,0.578153466154,0.174152317185,0.247694216661,0.000249104790819
394,2,0.5780557913,0.178119549491,0.243824659208,0.000249104790819
